('L', 'AD', 236, [61, 130], [98, 321])
('AD', 'T', 127, [98, 321], [1, 287])
('AD', 'D', 443, [98, 321], [12, 659])
('D', 'T', 401, [12, 659], [1, 287])
('AD', 'N', 115, [98, 321], [174, 407])
('N', 'D', 352, [174, 407], [12, 659])
('AI', 'P', 379, [323, 702], [666, 698])
('P', 'AG', 695, [666, 698], [116, 707])
('AG', 'AI', 242, [116, 707], [323, 702])
('H', 'J', 194, [706, 240], [745, 92])
('J', 'AE', 323, [745, 92], [841, 395])
('AE', 'H', 207, [841, 395], [706, 240])
('AE', 'AJ', 268, [841, 395], [649, 302])
('AI', 'A', 218, [323, 702], [451, 576])
('A', 'P', 288, [451, 576], [666, 698])
('H', 'C', 273, [706, 240], [527, 72])
('C', 'J', 263, [527, 72], [745, 92])
('E', 'C', 129, [505, 182], [527, 72])
('H', 'E', 265, [706, 240], [505, 182])
('C', 'F', 297, [527, 72], [273, 1])
('F', 'J', 617, [273, 1], [745, 92])
('U', 'B', 112, [556, 378], [580, 288])
('B', 'AJ', 78, [580, 288], [649, 302])
('AJ', 'U', 144, [649, 302], [556, 378])
('B', 'H', 167, [580, 288], [706, 240])
('B', 'E', 151, [580, 288], [505, 182])
('U', 'X', 167, [556, 378], [449, 481])
('X', 'AB', 64, [449, 481], [448, 418])
('AB', 'U', 119, [448, 418], [556, 378])
('X', 'Q', 213, [449, 481], [651, 490])
('Q', 'A', 264, [651, 490], [451, 576])
('M', 'X', 190, [295, 528], [449, 481])
('A', 'M', 182, [451, 576], [295, 528])
('B', 'AF', 122, [580, 288], [486, 264])
('AF', 'E', 84, [486, 264], [505, 182])
('U', 'AF', 136, [556, 378], [486, 264])
('AD', 'K', 139, [98, 321], [197, 225])
('K', 'N', 226, [197, 225], [174, 407])
('K', 'AC', 184, [197, 225], [339, 244])
('AC', 'N', 236, [339, 244], [174, 407])
('L', 'K', 170, [61, 130], [197, 225])
('V', 'C', 134, [419, 123], [527, 72])
('E', 'V', 122, [505, 182], [419, 123])
('V', 'F', 228, [419, 123], [273, 1])
('AF', 'V', 201, [486, 264], [419, 123])
('AF', 'AC', 152, [486, 264], [339, 244])
('AC', 'V', 171, [339, 244], [419, 123])
('AH', 'P', 124, [679, 589], [666, 698])
('Q', 'AH', 118, [651, 490], [679, 589])
('AH', 'AE', 264, [679, 589], [841, 395])
('AE', 'P', 362, [841, 395], [666, 698])
('Q', 'AE', 228, [651, 490], [841, 395])
('AA', 'X', 222, [617, 438], [449, 481])
('U', 'AA', 96, [556, 378], [617, 438])
('AA', 'Q', 62, [617, 438], [651, 490])
('AJ', 'AA', 166, [649, 302], [617, 438])
('AE', 'AA', 288, [841, 395], [617, 438])
('Y', 'A', 144, [315, 602], [451, 576])
('AI', 'Y', 127, [323, 702], [315, 602])
('Y', 'M', 92, [315, 602], [295, 528])
('AF', 'G', 114, [486, 264], [415, 347])
('G', 'AC', 139, [415, 347], [339, 244])
('AB', 'G', 95, [448, 418], [415, 347])
('F', 'R', 183, [273, 1], [144, 88])
('R', 'L', 108, [144, 88], [61, 130])
('L', 'F', 295, [61, 130], [273, 1])
('R', 'K', 164, [144, 88], [197, 225])
('V', 'S', 113, [419, 123], [335, 181])
('S', 'F', 214, [335, 181], [273, 1])
('AC', 'S', 66, [339, 244], [335, 181])
('K', 'S', 153, [197, 225], [335, 181])
('Y', 'W', 114, [315, 602], [213, 584])
('W', 'M', 116, [213, 584], [295, 528])
('W', 'N', 234, [213, 584], [174, 407])
('N', 'M', 191, [174, 407], [295, 528])
('W', 'AI', 175, [213, 584], [323, 702])
('AG', 'W', 157, [116, 707], [213, 584])
('D', 'W', 250, [12, 659], [213, 584])
('AG', 'D', 132, [116, 707], [12, 659])
('AC', 'I', 154, [339, 244], [367, 383])
('I', 'N', 234, [367, 383], [174, 407])
('I', 'M', 204, [367, 383], [295, 528])
('X', 'I', 156, [449, 481], [367, 383])
('R', 'O', 112, [144, 88], [233, 147])
('O', 'K', 87, [233, 147], [197, 225])
('O', 'S', 123, [233, 147], [335, 181])
('F', 'O', 181, [273, 1], [233, 147])
