('U', 'I', 314, [26, 535], [50, 817])
('Q', 'U', 238, [1, 305], [26, 535])
('AA', 'V', 618, [215, 29], [735, 1])
('V', 'AD', 200, [735, 1], [546, 12])
('W', 'U', 111, [69, 445], [26, 535])
('Q', 'W', 161, [1, 305], [69, 445])
('U', 'F', 130, [26, 535], [54, 635])
('F', 'I', 213, [54, 635], [50, 817])
('U', 'L', 216, [26, 535], [239, 561])
('L', 'F', 207, [239, 561], [54, 635])
('F', 'B', 380, [54, 635], [342, 761])
('B', 'I', 379, [342, 761], [50, 817])
('L', 'B', 254, [239, 561], [342, 761])
('P', 'B', 216, [474, 611], [342, 761])
('L', 'P', 295, [239, 561], [474, 611])
('O', 'AD', 179, [533, 166], [546, 12])
('V', 'O', 291, [735, 1], [533, 166])
('O', 'S', 227, [533, 166], [589, 373])
('S', 'D', 211, [589, 373], [483, 223])
('D', 'O', 96, [483, 223], [533, 166])
('AH', 'AI', 122, [728, 468], [719, 358])
('AI', 'V', 365, [719, 358], [735, 1])
('V', 'AH', 476, [735, 1], [728, 468])
('AI', 'S', 138, [719, 358], [589, 373])
('S', 'AG', 109, [589, 373], [643, 464])
('AG', 'Y', 153, [643, 464], [512, 530])
('Y', 'S', 220, [512, 530], [589, 373])
('AG', 'AI', 167, [643, 464], [719, 358])
('AH', 'AG', 95, [728, 468], [643, 464])
('AE', 'AB', 110, [62, 131], [132, 212])
('AB', 'Q', 176, [132, 212], [1, 305])
('Q', 'AE', 194, [1, 305], [62, 131])
('U', 'C', 237, [26, 535], [222, 468])
('C', 'L', 119, [222, 468], [239, 561])
('W', 'C', 162, [69, 445], [222, 468])
('K', 'P', 192, [395, 435], [474, 611])
('C', 'K', 187, [222, 468], [395, 435])
('C', 'H', 151, [222, 468], [338, 380])
('H', 'K', 83, [338, 380], [395, 435])
('M', 'K', 84, [417, 365], [395, 435])
('H', 'M', 89, [338, 380], [417, 365])
('S', 'AJ', 230, [589, 373], [418, 297])
('AJ', 'D', 98, [418, 297], [483, 223])
('M', 'AJ', 87, [417, 365], [418, 297])
('S', 'M', 220, [589, 373], [417, 365])
('Q', 'G', 156, [1, 305], [125, 281])
('AB', 'G', 85, [132, 212], [125, 281])
('P', 'N', 200, [474, 611], [457, 455])
('N', 'Y', 98, [457, 455], [512, 530])
('Y', 'P', 91, [512, 530], [474, 611])
('K', 'N', 71, [395, 435], [457, 455])
('M', 'N', 115, [417, 365], [457, 455])
('N', 'S', 170, [457, 455], [589, 373])
('P', 'E', 190, [474, 611], [474, 776])
('E', 'B', 170, [474, 776], [342, 761])
('T', 'E', 166, [617, 698], [474, 776])
('P', 'T', 168, [474, 611], [617, 698])
('E', 'I', 536, [474, 776], [50, 817])
('AF', 'P', 173, [637, 587], [474, 611])
('Y', 'AF', 160, [512, 530], [637, 587])
('AF', 'T', 143, [637, 587], [617, 698])
('AG', 'AF', 158, [643, 464], [637, 587])
('AH', 'AF', 177, [728, 468], [637, 587])
('AH', 'T', 261, [728, 468], [617, 698])
('J', 'M', 113, [346, 290], [417, 365])
('H', 'J', 105, [338, 380], [346, 290])
('J', 'AJ', 77, [346, 290], [418, 297])
('A', 'J', 135, [265, 374], [346, 290])
('H', 'A', 94, [338, 380], [265, 374])
('C', 'A', 109, [222, 468], [265, 374])
('AC', 'AE', 217, [232, 105], [62, 131])
('AE', 'AA', 199, [62, 131], [215, 29])
('AA', 'AC', 92, [215, 29], [232, 105])
('AD', 'AC', 334, [546, 12], [232, 105])
('AJ', 'X', 86, [418, 297], [407, 225])
('X', 'D', 91, [407, 225], [483, 223])
('J', 'X', 95, [346, 290], [407, 225])
('AC', 'X', 240, [232, 105], [407, 225])
('J', 'AC', 233, [346, 290], [232, 105])
('X', 'O', 160, [407, 225], [533, 166])
('X', 'AD', 329, [407, 225], [546, 12])
('R', 'J', 198, [185, 292], [346, 290])
('R', 'G', 72, [185, 292], [125, 281])
('AB', 'R', 122, [132, 212], [185, 292])
('C', 'R', 182, [222, 468], [185, 292])
('AC', 'R', 246, [232, 105], [185, 292])
('W', 'R', 200, [69, 445], [185, 292])
